Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,EFG%,year,last
Blake Griffin,Oklahoma,Big 12,2008,7.85,33,28,28.4,14.7,5.8,3.3,9.1,1.8,1,0.8,2.3,2.5,5.6,9.8,0.568,3.5,6,0.589,5.6,9.8,0.5710000000000001,0,0.1,0,0.5714285714285714,1,0
Blake Griffin,Oklahoma,Big 12,2009,6.88,35,35,33.3,22.7,10.5,3.9,14.4,2.3,1.1,1.2,3.3,2.5,8.6,13.1,0.654,5.5,9.3,0.59,8.5,12.9,0.659,0.1,0.2,0.375,0.6603053435114504,2,1
Hasheem Thabeet,UConn,Big East,2007,6.08,31,31,24.6,6.2,4,2.4,6.4,0.4,0.2,3.8,1.6,2.6,2.2,3.9,0.5539999999999999,1.9,3.7,0.513,2.2,3.9,0.5539999999999999,0,0,0,0.5641025641025642,1,0
Hasheem Thabeet,UConn,Big East,2008,6.75,33,32,31,10.5,4.9,2.9,7.9,0.4,0.3,4.5,1.8,2.6,3.5,5.7,0.603,3.6,5.1,0.698,3.5,5.7,0.603,0,0,0,0.6140350877192983,2,0
Hasheem Thabeet,UConn,Big East,2009,8.57,36,36,31.8,13.6,7.1,3.7,10.8,0.5,0.6,4.2,1.9,2.5,4.9,7.7,0.64,3.7,5.9,0.627,4.9,7.7,0.64,0,0,0,0.6363636363636364,3,1
James Harden,Arizona State,Pac-10,2008,6.28,34,33,34.1,17.8,4,1.3,5.3,3.2,2.1,0.6,2.6,2.1,5.8,10.9,0.527,5,6.6,0.754,4.5,7.8,0.5760000000000001,1.3,3.2,0.407,0.591743119266055,1,0
James Harden,Arizona State,Pac-10,2009,7.82,35,35,35.8,20.1,4.2,1.4,5.6,4.2,1.7,0.3,3.4,2.8,6.3,12.9,0.489,5.8,7.7,0.7559999999999999,4.7,8.3,0.564,1.7,4.7,0.35600000000000004,0.5542635658914729,2,1
Tyreke Evans,Memphis,CUSA,2009,4.63,37,35,29,17.1,4.1,1.3,5.4,3.9,2.1,0.8,3.6,2.4,6.2,13.6,0.455,3.7,5.2,0.711,5.3,10.3,0.514,0.9,3.4,0.274,0.48897058823529416,1,1
Jonny Flynn,Syracuse,Big East,2008,7.96,35,35,35.5,15.7,2.1,0.6,2.7,5.3,1.5,0.2,2.7,1.5,5.5,11.9,0.459,3.1,4.1,0.775,3.9,7.3,0.529,1.6,4.6,0.348,0.5294117647058824,1,0
Jonny Flynn,Syracuse,Big East,2009,9.48,38,38,37.3,17.4,2.2,0.6,2.7,6.7,1.4,0.2,3.4,1.4,5.8,12.5,0.46,4.7,6,0.7859999999999999,4.6,8.8,0.521,1.2,3.7,0.317,0.512,2,1
Stephen Curry,Davidson,Southern,2007,-2.25,34,33,30.9,21.5,3.7,0.9,4.6,2.8,1.8,0.2,2.8,2.6,7.1,15.4,0.463,3.6,4.3,0.855,3.5,6.6,0.536,3.6,8.8,0.408,0.577922077922078,1,0
Stephen Curry,Davidson,Southern,2008,1.66,36,36,33.1,25.9,3.8,0.8,4.6,2.9,2,0.4,2.6,2.4,8.8,18.2,0.483,3.8,4.2,0.894,4.3,8,0.54,4.5,10.3,0.439,0.6071428571428572,2,0
Stephen Curry,Davidson,Southern,2009,-3.33,34,34,33.7,28.6,3.8,0.6,4.4,5.6,2.5,0.2,3.7,2.4,9.2,20.2,0.454,6.5,7.4,0.8759999999999999,5.4,10.3,0.519,3.8,9.9,0.387,0.5495049504950495,3,1
Jordan Hill,Arizona,Pac-10,2007,10.76,29,12,14.1,4.7,2.5,1.6,4.1,0.1,0.2,0.9,0.7,1.8,2,3.1,0.652,0.7,1.6,0.447,2,3.1,0.652,0,0,0,0.6451612903225806,1,0
Jordan Hill,Arizona,Pac-10,2008,10.22,34,33,29.4,13.2,5.5,2.5,7.9,0.8,0.5,1.6,2.1,3.1,5.4,8.7,0.62,2.4,3.5,0.6829999999999999,5.4,8.7,0.62,0,0,0,0.6206896551724139,2,0
Jordan Hill,Arizona,Pac-10,2009,8.8,34,34,35.7,18.3,6.8,4.2,11,1.5,0.9,1.7,2.9,3,7.4,13.8,0.537,3.4,5.3,0.654,7.4,13.8,0.537,0,0,0,0.5362318840579711,3,1
DeMar DeRozan,USC,Pac-10,2009,9.15,35,35,33.4,13.9,3.3,2.4,5.7,1.5,0.9,0.4,2.1,2.1,5.5,10.5,0.523,2.7,4.2,0.6459999999999999,5.3,9.5,0.562,0.2,1,0.16699999999999998,0.5333333333333333,1,1
Terrence Williams,Louisville,Big East,2006,6.5,33,21,25.1,8.4,3.7,1,4.7,2.1,1,0.3,1.7,1.8,3.2,8.1,0.391,0.9,1.5,0.612,1.9,4.2,0.467,1.2,3.9,0.31,0.46913580246913583,1,0
Terrence Williams,Louisville,Big East,2007,7.69,34,34,33,12.4,4.9,2.1,7,3.8,1.3,0.7,2.4,2.1,4.6,12.7,0.3670000000000001,1.7,2.8,0.604,3.2,7.1,0.449,1.4,5.5,0.261,0.4173228346456693,2,0
Terrence Williams,Louisville,Big East,2008,8,36,36,35.9,11.1,5.8,1.4,7.2,4.5,1.3,0.8,2.9,1.9,4.1,9.9,0.411,1.7,2.9,0.5710000000000001,2.7,5.9,0.46,1.4,4,0.34,0.4848484848484848,3,0
Terrence Williams,Louisville,Big East,2009,8.41,37,36,34.2,12.5,7.2,1.4,8.6,5,2.3,0.8,2.3,1.7,4.6,10.6,0.431,1.8,3.2,0.581,3,6.6,0.459,1.5,4,0.385,0.5047169811320754,4,1
Tyler Hansbrough,UNC,ACC,2006,7.77,31,30,30.4,18.9,4.3,3.6,7.8,1.3,1.2,0.7,2.5,2.8,6.4,11.3,0.57,6,8.2,0.7390000000000001,6.4,11.1,0.5710000000000001,0.1,0.1,0.5,0.5707964601769911,1,0
Tyler Hansbrough,UNC,ACC,2007,9.3,38,38,29.9,18.4,4.8,3.1,7.9,1.2,1.1,0.4,1.9,2.4,6,11.4,0.525,6.4,8.3,0.768,6,11.3,0.528,0,0.1,0.25,0.5263157894736842,2,0
Tyler Hansbrough,UNC,ACC,2008,8.12,39,39,33,22.6,6.4,3.9,10.2,0.9,1.5,0.4,2.1,2.4,7.4,13.7,0.54,7.8,9.7,0.8059999999999999,7.4,13.5,0.547,0,0.2,0,0.5401459854014599,3,0
Tyler Hansbrough,UNC,ACC,2009,8.35,34,34,30.3,20.7,5.1,3,8.1,1,1.2,0.4,1.9,2.3,6.6,12.8,0.514,7.3,8.7,0.841,6.3,12.1,0.521,0.3,0.7,0.391,0.52734375,4,1
Earl Clark,Louisville,Big East,2007,7.69,32,5,16,5.9,2.4,1.4,3.8,0.4,0.7,0.4,0.8,1.2,2.2,4.6,0.48,1.2,1.9,0.597,1.9,3.8,0.504,0.3,0.8,0.37,0.5108695652173914,1,0
Earl Clark,Louisville,Big East,2008,8,35,22,28.5,11.1,5.9,2.2,8.1,1.4,1,1.7,2.3,1.8,4.2,8.8,0.476,2.4,3.6,0.654,3.7,6.9,0.544,0.4,1.9,0.227,0.5,2,0
Earl Clark,Louisville,Big East,2009,8.41,37,36,34.3,14.2,5.9,2.8,8.7,3.2,1,1.4,3.2,1.9,5.5,11.9,0.457,2.4,3.8,0.647,4.6,9.4,0.493,0.8,2.6,0.326,0.4957983193277311,3,1
Austin Daye,Gonzaga,WCC,2008,2.15,33,1,18.5,10.5,4,0.7,4.7,1,0.6,1.6,1.7,2.4,3.5,7.4,0.475,2.7,3.1,0.8809999999999999,2.7,5.5,0.4970000000000001,0.8,1.9,0.413,0.527027027027027,1,0
Austin Daye,Gonzaga,WCC,2009,3.55,34,33,26.3,12.7,5.8,1.1,6.8,1.1,0.7,2.1,2.1,2.9,4.7,9.8,0.477,2.3,3.2,0.706,3.6,7.3,0.494,1.1,2.5,0.429,0.5357142857142857,2,1
Jrue Holiday,UCLA,Pac-10,2009,7.18,35,35,27.1,8.5,2.5,1.3,3.8,3.7,1.6,0.5,2.1,2.1,3.2,7.1,0.45,1.3,1.8,0.726,2.4,4.6,0.528,0.8,2.5,0.307,0.5070422535211268,1,1
Ty Lawson,UNC,ACC,2007,9.3,38,31,25.7,10.2,2.2,0.7,2.9,5.6,1.5,0.1,2.2,2.4,3.7,7.4,0.5,2,2.9,0.688,2.9,5.1,0.564,0.8,2.3,0.35600000000000004,0.5540540540540541,1,0
Ty Lawson,UNC,ACC,2008,8.12,32,29,25.3,12.7,2.3,0.5,2.7,5.2,1.6,0,2.2,1.8,4.4,8.5,0.515,3,3.6,0.835,3.4,5.9,0.5820000000000001,0.9,2.6,0.361,0.5705882352941177,2,0
Ty Lawson,UNC,ACC,2009,8.35,35,35,29.9,16.6,2.3,0.7,3,6.6,2.1,0.1,1.9,1.7,5.2,9.8,0.532,4.7,5.9,0.7979999999999999,3.7,6.7,0.56,1.5,3.1,0.472,0.6071428571428571,3,1
